名字,url,内容0,时间0,转发0,评论0,点赞0,内容1,时间1,转发1,评论1,点赞1,内容2,时间2,转发2,评论2,点赞2,内容3,时间3,转发3,评论3,点赞3,内容4,时间4,转发4,评论4,点赞4,内容5,时间5,转发5,评论5,点赞5,内容6,时间6,转发6,评论6,点赞6,内容7,时间7,转发7,评论7,点赞7,内容8,时间8,转发8,评论8,点赞8,内容9,时间9,转发9,评论9,点赞9
腾讯美食,https://weibo.com/u/6172745943,90健康研习社 新年狂欢 欣 然而至 演员@樊治欣FAN 与@时尚健康 美食编辑郭大胆与美女主厨Stella 准备了新年派对大餐 共同制作精致美味甜品 领略西班牙火腿文化 向2020年say goodbye 共同迎接2021 O网页链接,2020-12-27 16:11,36.0,35.0,37.0,四年积聚 只为公益发声 行动者联盟公益盛典 于2020年12月1日举办高峰论坛 并颁发 年度十大公益人物 年度十大公益项目 年度十大公益创意 年度十大公益企业 四大奖项以及 最具网络人气奖 年度明星公益指数榜 除此之外 此次公益盛典特别推出 抗疫特别奖 更加关注健康与公益的 展开全文c,2020-12-01 13:00,0.0,5.0,12.0,倍儿想吃 云端味觉 将食材的灵魂融入艺术 创造出兼具美味与创意的菜肴 10月9日15 00 @腾讯美食 联合@味觉大师IP 特邀具有演员 作者 综艺咖 讲师多重身份的型男主厨余勇浪先生 为您呈现多变的味觉体验 O网页链接,2020-10-09 12:48,2.0,0.0,3.0,倍儿想吃 暖冬赏味 如何用更短的时间在家吃上五星级早餐 来自法国的糕点师Anne Marion 将用焙睿的法式面包带来多款美味便捷的早餐 腾讯视频美食达人小张张@味觉大师IP 带你优雅做美味 O网页链接,2020-12-11 15:03,1.0,1.0,1.0,韩国料理大致以米饭 蔬菜和肉类为基础 有一个说法是韩国料理有 五味五色 之称 五味是指 甜 酸 苦 辣 咸 五色是指 红 白 黑 绿 黄 11月27日16 00 @腾讯美食 联合@味觉大师IP 特邀韩国料理大厨Jason 先生 相约在北京诺金酒店悦尚全日制餐厅 带来特色的韩国料理 展开全文c,2020-11-27 11:00,1.0,1.0,1.0,倍儿想吃 暖冬赏味 想不想尝尝脆皮黑松露金猪与鸡汤堂灼东星斑 来自广东的柯师傅甄选时令食材 遵循古法炮制 精心打造独具匠心的全新美味 想知道柯师傅以怎样的方式去进行烹饪吗 12月18日15 00 腾讯美食联合@味觉大师IP 我们将在北京望京凯悦酒店藏悦中餐厅为您现场揭晓 O网页链接,2020-12-18 11:02,2.0,0.0,0.0,倍儿想吃 云端味觉 传统法餐与地化元素融合 将会带来怎样与众不同的味蕾体验呢 11月13日15 00 @腾讯美食 联合@味觉大师IP 特邀秉持着将美食的幸福感传递给更多人理念的橙子 Paul 主厨 为您带来 一场 橙子 与橙子的相遇 O网页链接,2020-11-13 11:00,1.0,1.0,0.0,倍儿想吃 云端味觉 想知道花椒与食材碰撞将会产生怎样的奇妙反应吗 11月06日15 00 @腾讯美食 联合@味觉大师IP 特邀专业从事传统川菜研究与传承24年的付海勇主厨 我们将在一菜一格家常菜为您带来一场花椒奇遇记 O网页链接,2020-11-06 10:50,1.0,1.0,0.0,感味自然 食飨上海 这里承载着梦想和希望 更展示着生生不息的辉煌 包容 进取 开放 让世界惊艳 2021上海米其林指南发布会10 00 锁定@腾讯视频 直播间 甄选上海各色美味 打造全新榜单 一同见证上海的餐饮魅力 O网页链接,2020-10-21 08:42,0.0,0.0,2.0,2020年的最后一杯奶茶在@腾讯美食 开Party烤奶皮 鲜乳茶 新年一起牛起来 O网页链接,2020-12-27 17:14,0.0,0.0,1.0
腾讯新闻好雨知时工作室,https://weibo.com/haoyuzhishi,彩礼是对女性结婚生子的补偿 很多独立女性反对彩礼 在@储殷 看来 她们不能代表所有女性的利益 月薪2000 3000 4000的女孩想通过彩礼来改变命运 想通过彩礼来保护家庭的女生 你有什么权利以女性独立的名义对她们说不呢 彩礼和嫁妆有必要存在吗 你说的都不对 微博纪录片联盟 洞见计划 展开全文c,2020-10-27 12:38,1672.0,2690.0,21893.0,在最新一期 你说的都不对 中 大学教授@储殷 和主持人@马丁马小虎 就 年轻人不去大城市就没出息吗 的话题展开讨论 马丁以网红@我是李雪琴啊 结束北漂生活回老家铁岭为例 证明在小地方可以兼顾事业和生活 而储殷则反驳道 李雪琴在上海上节目成名 参加的商业活动更遍布全国 铁岭人 只是她的标签 展开全文c,2020-11-03 18:02,848.0,561.0,5045.0,少年 纪实秀 少年 总预告第一发 腾讯新闻首档97后少年偶像纪录片终于来啦 节目跟随五个不同行业内的顶尖少年 台湾乐队傻子与白痴 @傻子與白痴FoolandIdiot @傻子與白痴 蔡維澤 少女偶像欧阳娜娜@歐陽娜娜Nana 唱跳达人斯外戈@斯外戈 电竞少年兮夜@xiye 足球小将张玉宁 展开全文c,2020-11-17 16:49,438.0,353.0,4120.0,少年 纪实秀 傻子与白痴的娱乐圈漂流记 从地下前往主流 今年乐夏中 有不少年轻乐队被大众关注到 而其中来自台北的实力乐队傻子与白痴@傻子與白痴FoolandIdiot 在2018年末就进入了我们的视线 他们在坚持独立和试探主流间 找寻自己的生存之道 作出无愧于心的决定 也希望给粉丝一个交代 2 展开全文c,2020-12-16 11:39,1334.0,117.0,664.0,少年 纪实秀 第二波来啦 19岁欧阳娜娜的选择 不想人生中只有大提琴 在@歐陽娜娜Nana 19岁生日之前 她和朋友一起筹备了十周年音乐会 也开始思考关于自己与外部世界的关系 面对少年 节目发起人@何润锋_新闻人 提到的外界质疑 娜娜直言c 在19岁的路口 她如何突破自我 在音乐世界里做一尾 展开全文c,2020-12-23 12:13,210.0,112.0,1259.0,少年 纪实秀 @歐陽娜娜Nana 音乐少女转型记 先导片来了 即将迈入20岁 好像总是 还有一件事情 它往往 只有我们自己能做出选择 想知道娜娜做出了什么决定 12月23日周三上午10点 打开腾讯新闻 和少年 节目发起人@何润锋_新闻人 一起 找到那件 只有我们的勇气能改变的事情 展开全文c,2020-12-22 17:18,195.0,155.0,1060.0,90后结婚更看重彩礼 近期有关彩礼的新闻频频引发大家关注 比如女孩因彩礼没谈拢跳河 男生因彩礼不够去抢珠宝店 @储殷 认为这是因为随着房价的提升 90后年轻人结婚买房更加困难 因此更需要经济保障 而@洪千辰 则认为彩礼解决不了实际问题 反而可能加重矛盾 不应继续存在 你怎么看待彩礼 展开全文c,2020-10-27 12:34,69.0,148.0,853.0,储殷引用杨笠金句 曾因驳斥@ 杨笠 男人普通而又自信 的言论而遭受网络攻击的前奇葩说辩手@储殷 在 你说的都不对 特别节目中 与知名时评人@陈迪Winston 就 被网暴该不该回击 展开讨论 陈迪主张跟对立者沟通 认为网络发声可以传递给 在你身上寻找力量的人 而储殷则主张屏蔽 认为陈迪高估 展开全文c,2020-11-10 14:38,187.0,79.0,645.0,少年 纪实秀 定档PV来啦 12月16日起每周三 腾讯新闻客户端播出 70后 大叔 @何润锋_新闻人 踏上与97后 小鲜肉 的碰撞之旅 青春乐队傻子与白痴 @傻子與白痴FoolandIdiot 音乐少女欧阳娜娜@歐陽娜娜Nana 唱跳达人斯外戈@斯外戈 电竞少年兮夜@xiye 足球小将张玉宁@KA张玉宁KA 盛 展开全文c,2020-12-11 18:57,48.0,88.0,720.0,彩礼是对女性结婚生子的补偿 @储殷 认为 男性在婚姻中获得更多的照顾 女性在婚姻过程中要损耗自己的青春 贬损自己的社会交易价值 所以女性要求物质保障天经地义 彩礼才是在保护女性 你觉得他说的有道理吗 彩礼和嫁妆有必要存在吗 你说的都不对 微博纪录片联盟 洞见计划 展开全文c,2020-10-27 12:40,63.0,56.0,359.0
腾讯游戏安全中心,https://weibo.com/u/6160862917,一万Q币 穿越火线安全周 来了 来了 在12月7日至13日 就是我们的穿越火线安全周 届时 我们将会在安全周针对广大CFer关心的游戏内恶意广告问题重锤出击 CF道具奖励 一套周边刀锋铁骑 价值2000人民币 10000Q币 等你来拿 转发这条微博 让我们一起来守护绿色火线 松糕 展开全文c,2020-12-04 18:12,618.0,412.0,244.0,LOL安全周严打消极游戏 Q币 皮肤等丰厚奖励等你领 在12月28日 12月31日 英雄联盟 安全周正式启动 在LOL安全周期间 我们推出举报 消极游戏行为 有奖活动 峡谷安全知识大挑战 LOL安全经理面对面等专属活动 更有文明游戏使者 神超 在直播间为大家介绍本次安全周的玩法 海量Q币 展开全文c,2020-12-28 10:20,473.0,396.0,331.0,500份王者荣耀道具奖励 1万Q币等你来领 安全接力 守护升级 王者荣耀安全周正式启动 在本周 我们推出正能量发言 峡谷情景小剧场以及举报视频判断等专属活动 更会送出500份的游戏道具 含英雄碎片 铭文 亲密玫瑰 和10000QB 活动链接 O网页链接转发 评论 王者 展开全文c,2020-12-14 15:28,364.0,430.0,83.0,游戏安全月来袭 六款腾讯游戏齐参与 转发抽10人平分1000Q币 打击不停歇 守护再升级 在这个寒冬已至的12月 腾讯游戏安全携手六款热门端手游 和平精英 穿越火线 王者荣耀 地下城与勇士 穿越火线枪战王者 英雄联盟 让正义的力量扩散在这六款腾讯游戏中 在本届游戏安全月 我 展开全文c,2020-12-16 10:57,417.0,150.0,71.0,CF游戏安全周直播 今天 松糕和穿越火线安全产品经理 刀锋哥 联手穿越火线主播@白鲨AyoM_ 给大家带来了一场别开生面的活动 CF安全知多少 直播在今晚19 30就要开始啦 相信喜欢玩穿越火线的玩家们都对作为cf最早期的职业选手白鲨有一定的了解 也有很多的安全小疑问想得到 展开全文c,2020-12-07 19:08,376.0,100.0,81.0,梦泪快上船 安全测试第二关 这次的测试主题是 演员 行为辨别 在高端对局中可能会存在 演员 行为 但不少召唤师常常将该恶意行为和消极游戏行为相混淆 不知道@梦之泪伤 能否回答正确图中的选择题呢 各位召唤师也不妨查看长图中的选择题来参与回答转发微博 你的答案 回答正 展开全文c,2020-12-02 17:44,166.0,63.0,87.0,船新 改版 守护升级 11月的最后一天 松糕要和大家预告一件 游戏安全届的大事件 第三届游戏安全日 敲黑板 划重点 今年我们安全日将升级为 游戏安全月 活动时间相较去年 超级加倍 12月5日起 每周都会有1 2款游戏轮流上线安全月系列活动 在安全月中 都会有 展开全文c,2020-11-30 15:21,12.0,215.0,68.0,LOL安全周即将启动 周一打卡领QB 守护升级 一年一度的游戏安全日在今年升级为 游戏安全月 英雄联盟 安全周活动将在下周一12月28日与各位召唤师见面 打卡活动 活动上线当天 下周一 在此条微博的评论区留言 打卡 参加了哪个LOL安全周活动 正义哥将抽10位召 展开全文c,2020-12-25 17:44,39.0,171.0,69.0,举报有奖活动 穿越火线文明使者白鲨手把手教你如何参与举报 CF道具奖励 一套周边刀锋铁骑 价值2000人民币 10000Q币 等你来拿 参与链接 O网页链接 L腾讯游戏安全中心的微博视频 穿越火线安全周 游戏安全月,2020-12-09 10:58,6.0,130.0,97.0,猎手计划 蓄势待发 猎手计划是腾讯游戏安全团队和@逆战 团队积极筹备的一次在安全运营上最全面 覆盖范围最大的一次专项对抗 我们希望逆战的玩家们能在更加绿色的竞技环境下 重拾当年初登逆战战场时的热情 逆战猎手计划 第一步 信用分门槛调整 玩逆战 讲信用 让恶意玩 展开全文c,2020-12-04 17:13,113.0,59.0,28.0
腾讯A咖时尚,https://weibo.com/Akashishang,A咖星推荐 A咖时尚 x气运联盟乐团 专访来啦人气乐团队内竟穿同一条裤子 帅字当头 的个性穿搭理念等你来get@鼓手胡宇桐 @田鸿杰_ @赵珂__ @一个李润祺 @马哲要长肉L气运联盟红毯西装杀 穿衣癖好首公开暗示成员,2020-11-19 14:19,4942.0,1265.0,34796.0,朱一龙超话A先森在武汉路易威登 看见LV 的展览上碰到了@朱一龙 家乡看展览的@朱一龙 是什么样的心情呢 生活中的龙龙又喜欢什么样的放松方式呢 铛铛铛铛 赶快跟随A先森get篮球少年的运动双肩包吧 a咖同款挖掘机 L朱一龙演绎经典棋盘格 爱篮球的男子也爱双肩背,2020-11-02 18:38,7335.0,2983.0,11084.0,朱一龙超话 A先森在武汉捕捉了谁家的优雅贵公子@朱一龙 小笼包赶快来认领啦 PS 听说专访即将掉落哦 a咖同款挖掘机,2020-10-31 19:17,4595.0,3110.0,11752.0,杨紫超话 A咖星推荐 x@杨紫 的专访来啦 明星创意师小猴紫分享创意小巧思啦每个作品都有婚纱造型的杨紫最爱的是哪一款呢 梦想中的婚礼造型是什么样子的呢 杨紫剧剧有婚纱 点击视频收获小猴紫的最新动向吧L 杨紫专访 这个剧的婚纱造型居然是杨紫的心,2020-12-16 10:35,1597.0,1603.0,10908.0,王俊凯超话 A咖星推荐 x@TFBOYS 王俊凯 的专访来啦热衷球鞋的小凯时尚经 冬天不穿秋衣秋裤 保温杯成为20岁养生单品 自称不是易瘦体质的模特凯 点击视频收获美颜暴击吧 拥抱21岁的王俊凯 L 王俊凯同款 王俊凯红色皮衣上演超模走秀,2020-12-11 10:31,4994.0,711.0,4565.0,李易峰超话 A咖星推荐 x@李易峰 专访来啦 大雪 至 李易峰 冬天最爱的时尚单品 竟是 滑雪的计划变冲浪 不穿浴袍要穿比基尼 最近最感兴趣的穿搭竟然是超人同款 内衣外穿 还有近期工作安排爆料哦L 李易峰专访 李易峰原来是个手套控 放弃滑,2020-12-07 14:42,2112.0,868.0,5336.0,许佳琪超话 有 痣 青年@THE9 许佳琪 的专访来来独家 冬日温暖系穿搭 大公开 现役女团成员竟成 痣 控 还有近期工作分享哦点击视频收获美颜暴击吧 A咖星推荐 L许佳琪出席Gucci活动 格纹外套搭贝雷帽的Kik,2020-11-20 15:41,937.0,746.0,6496.0,孟美岐超话 A咖星推荐 x @孟美岐 专访来啦 冷白皮 冬日护肤秘密武器竟是 唱跳女歌手转行唱片制作人 @孟美岐 形影不离的时尚单品是 山支大哥拍照只用原相机 新专第三首歌剧透 还有冬日搭配小心机以及暖心告白哦赶快戳进链接捕捉 憨憨 美岐吧 展开全文c,2020-12-09 08:16,2371.0,1398.0,4278.0,虞书欣超话 A咖星推荐 x@THE9 虞书欣 的专访来啦 生日惊喜礼物大爆料欣欣子只翻牌id中带食物的粉丝原因竟然是 干饭女团伙 下雪天的正确打开方式是 生日微博文案独家提前曝光 冲浪高手在线创作表情包 还有最近的工作计划等你来发现哦 期待我们欣欣子的个人so 展开全文c,2020-12-22 10:23,1058.0,934.0,5621.0,陈立农超话 A咖星推荐 x@陈立农 的专访来啦 这个冬天农农购买得最多的单品是 实在人农农觉得冬天的味道竟然是 面对粉丝的彩虹屁农农的真实想法是 赤狐书生 拍摄心路历程分享 2020对农农的意义是 陈立农在2020居然有这么多第一次 点击视频分享农农这么多的第一次 展开全文c,2020-12-28 09:35,1533.0,1135.0,4524.0
腾讯时尚,https://weibo.com/u/6011462323,迪丽热巴超话 鹅娘星光 @Dear 迪丽热巴 BOBOSNAP 新刊封面曝光 单色光影更加凸现精致立体的五官 深邃的眼眸 被热巴美到的一天 迪丽热巴花卉头饰,2020-12-24 21:27,556.0,744.0,7461.0,迪丽热巴超话 鹅娘星光 @Dear 迪丽热巴 时而明艳直接 时而慵懒可爱 百变造型完美诠释时尚魅力 迪丽热巴钻石泪痣 迪丽热巴复古油画大片,2020-12-25 12:00,528.0,722.0,4994.0,毛晓彤超话 鹅娘星光 @毛晓彤 圣诞大片来袭 一改以往甜美系风格 深邃眼线搭配大红唇呈现酷飒女王妆 气场满分 毛晓彤暗黑女王圣诞妆,2020-12-28 11:59,1151.0,1149.0,1300.0,王俊凯超话 鹅娘星光 王俊凯工作室发布一组花絮大片 黑白质感下 凸显@TFBOYS 王俊凯 清俊轮廓 露出完美侧颜 举手投足间尽显魅力 王俊凯侧颜杀,2020-12-28 12:30,1506.0,233.0,1154.0,鹅小姐福利社 今日 黄海设计送你一朵小红花海报 发布 电影 送你一朵小红花 12月31日温情上映 终于要跟2020说byebye了 现关注@腾讯时尚 转评赞本博 韦一航@TFBOYS 易烊千玺 手上的小红花奖励给这一年里 认真生活的每一个你 易烊千玺送你一朵小红花 鹅小姐将抽取10位小可爱每人送出 送你 展开全文c,2020-12-27 10:00,1457.0,333.0,518.0,HenryLau刘宪华超话 鹅娘星光 @刘宪华Henry Lau Trendmo趋势 2021 1月刊封面出炉 橘红色西装外套搭配湿发造型 蓝色西装搭配个性打底 演绎冰与火的双重魅力 刘宪华眼神杀,2020-12-28 15:00,75.0,112.0,2108.0,许魏洲超话 鹅娘星光 @许魏洲ZZ 男人风尚 2021开年封面大片释出 慵懒午后 温暖房间 沐浴阳光 随性自然 许魏洲追光暖冬大片,2020-12-25 13:30,1070.0,354.0,762.0,宋茜超话@宋茜 个性十足 刚柔并济 完美诠释女性力量 恭喜 宋茜DIAMOND DAZZLE品牌代言人 鹅娘星光,2020-12-25 14:00,28.0,72.0,1036.0,王一博超话 鹅娘星光 @UNIQ 王一博 新歌黑白氛围感预告大片释出 挑染长发表现力MAX 黑白色调神秘贵气 氛围感十足 王一博黑白氛围感大片,2020-12-25 23:58,54.0,67.0,913.0,蔡徐坤超话 鹅娘星光 叮咚 送来@蔡徐坤 黑白氛围的圣诞礼物 晚安 鹅小姐说晚安,2020-12-27 15:27,48.0,126.0,691.0
腾讯视频超新星运动会,https://weibo.com/u/6718935571,2020 微博综艺大赏 来袭 超新星运动会 成功入围人气户外竞技节目 关注微博综艺大赏并给我们投上你宝贵的一票吧 再次感谢你的喜欢 下一年我们继续努力鸭 投票链接戳 O人气嘉宾投票火热进行中L腾讯视频超新星运动会的微博视频,2020-12-01 13:00,2.0,32.0,123.0,令人心动的offer2定档 offer赛区已经开赛 这次小one收拾收拾也想去试试 令人心动的offer,,0.0,18.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
腾讯电脑管家,https://weibo.com/qqpcmgr,朋友圈炫富骗局 没错 你最爱的白富美很可能就长封面大哥这样 L腾讯电脑管家的微博视频,2020-12-19 12:40,31.0,39.0,134.0,月入十万 的秘诀原来在这里 藏着钱的 水房 不能装信的 信封 和腿毛大叔的 键盘 原来都隐藏着满满的套路 戳图 看看你是不是下一个 月入十万 的人 全对的小伙伴评论里集合,,6.0,18.0,152.0,安全情报局九月刊大公开 九月检测到勒索病毒 发挥稳定 挖矿木马 僵尸网络仍持续活跃 具备超强反检测能力的新型挖矿木马家族MrbMiner更是猖狂 一出手便控制了上千台服务器 戳图 带你了解更多九月安全态势 管哥爱管,2020-10-19 19:56,11.0,23.0,63.0,最 勤奋 的挖矿团伙再度来袭 开始攻击企业云服务器腾讯安全捕获到8220挖矿团伙最新变种首次使用远程代码执行漏洞攻击入侵企业云服务器 并尝试利用多个SSH爆破工具进行横向移动 最终植入挖矿木马及Tsunami僵尸网络病毒 请相关用户提高警惕 腾讯主机安全系统支持检测此漏洞攻击 展开全文c,2020-11-11 14:09,11.0,24.0,61.0,和购物节不期而遇 微软补丁日又来了 本次更新修复了包含远程代码执行 拒绝服务 权限提升 信息泄露漏洞等112个安全漏洞 其中严重级别漏洞17个 涉及Windows IE等多个组件 请大家尽快通过Windows 安全更新安装补丁或使用腾讯电脑管家漏洞修复功能安装补丁 了解重点关注的漏洞信息 请戳 展开全文c,2020-10-31 09:00,11.0,23.0,57.0,年度大促即将开始 首波付尾款倒计时 尾款人们准备好了吗在冲刺购物之旅前 小心遇上暗藏危险的 障碍物 别担心 管哥特地准备了一份 尾款人轻松 GO 指南 让你轻松购物无负担 管哥爱管,2020-10-23 16:05,10.0,22.0,57.0,本周威胁情报一览针对中东地区的APT组织双尾蝎再度伸出 毒针 利用伪造社交软件等对多平台发起攻击 新型木马 BYL 习得 变装术 伪冒成国内银行应用窃取用户信息 Adobe及Oracle官方发布漏洞通告 本次Oracle更新中 Weblogic高危漏洞更是引发普遍关注 详见 展开全文c,2020-10-14 17:09,10.0,19.0,59.0,微软发布修复Windows TCP IP远程执行代码漏洞 CVE 2020 16898 通告攻击者可利用漏洞发送特殊的ICMPv6 Router Advertisement数据包给目标服务器 进行远程任意代码执行 漏洞安全风险较大 请大家及时使用Windows 安全更新升级安装 腾讯安全高级威胁检测系统已支持检测此漏洞 展开全文c,2020-09-30 22:09,8.0,19.0,61.0,在这非同寻长的双节时刻 管哥也来提前预祝大家中秋快乐 双节团圆 笑口嫦开 吴刚和长鹅在一起了 @腾讯公司 终于团聚了 谢谢大家 节日快乐 吴刚和长鹅在一起了 长鹅,,9.0,20.0,59.0,吴刚和长鹅在一起了 謝謝大家,2020-09-30 20:49,7.0,22.0,58.0
腾讯手机管家,https://weibo.com/txmanager,有奖互动 小巨人运动会 里的明星领队们来啦射箭技能点满的 跳水王子 @田亮借 鸡 带娃的 故事大王 @汪苏泷 酷飒满分的 玉米姐姐 @郑希怡可盐可甜反转魅力爆棚的@THE9 许佳琪最想让谁做你的 电话助理 赶快戳下方海报挑选吧转发说出 展开全文c,2020-12-03 19:10,295.0,387.0,3089.0,蓝圈行动 毕业求职不用怕 师兄师姐来帮忙 助力毕业求职 快来跟腾讯手机管家一起共同参与吧 关注@脉脉 @腾讯手机管家 带话题转评 承包大家的职场互助基金 10月31日不过滤抽3位幸运儿平分300元京东卡 @微博抽奖平台 O抽奖详情,2020-10-22 14:36,467.0,38.0,8.0,今天的你 就是昨天的我 在机遇与挑战并存的新时代 脉脉携手@共青团中央 @快手 共同发起 青年互助有位来 之 蓝圈行动 大型公益活动 让我们互助前行 毕业求职不用怕 全社会师兄师姐来帮忙 关注@脉脉 携手共行 带话题 蓝圈行动 转评参与O网页链接 10月 31 日抽 10位粉丝 展开全文c,,77.0,63.0,15.0,国庆游玩入住酒店 民宿 第一件事 检查有没有针孔摄像头 连接入住房间WiFi 打开腾讯手机管家App 应用安全 隐私风险检测 防偷拍探测 一键检测可疑网络摄像头 安心入住 快乐游玩 转发这条微博 10月3日抽1位小伙伴送 腾讯定制微型无人机1个 3位小伙伴 展开全文c,赞,73.0,41.0,24.0,转发抽奖 万圣节来临 这几只骗钱的 鬼 你可识得 赌博诈骗 鬼 让你输的倾家荡产 金融诈骗 鬼 让你不明不白一身债 中奖诈骗 鬼 新型骗局杀伤力翻倍 打开腾讯手机管家 应用安全 诈骗案例 了解更多防骗手法 让你免于 鬼 的攻击 转发这条微博 11月2日抽1 展开全文c,,52.0,29.0,15.0,有奖转发 担心游戏账号被盗 轻松几招教你上手Step 1 打开腾讯手机管家Android 8 8 2 版本Step 2 点击 应用安全 家庭游戏守护 一键查看游戏登录 支付信息 保护您的账号安全 游戏 手机安全 转发此微博 11月9日抽1位小伙伴送 手管定制充电宝10000Ah 1个 3位送 手 展开全文c,,40.0,25.0,10.0,有奖转发 近期诈骗案件高发 骗子年底 冲业绩 新型诈骗防不胜防 一键全方位检测诈骗风险 Step 1 打开腾讯手机管家Android 8 9 1 版本Step 2 点击 应用安全 诈骗风险检测 一键检测你是否存在受骗风险 反电诈我们在行动 诈骗 手机安全 转发此微博 12月20日抽1 展开全文c,,4.0,34.0,7.0,圣诞活动 圣诞节来啦 身穿红袍的圣诞老人带着礼物来啦 在下方评论区说出你最经常使用腾讯手机管家的哪个功能 12月27日将抽3位小伙伴送 腾讯视频会员1个月 30位送 腾讯视频会员7天 快来 @微博抽奖平台 O抽奖详情,,3.0,8.0,6.0,福利来了 看到 扑通心动表彰大会 的阵容你心动了吗 想去现场见你心动的TA吗 关注@腾讯手机管家 @QQ音乐 转发此微博 并在评论区说出让你扑通心动的一首歌 小管将通过微博抽奖平台抽送两位心动er去现场 活动注意事项 详见评论区,,0.0,4.0,4.0,腾讯安全 腾讯云跨界直播 联手虎牙公司成立安全联合实验室 以后筒子们刷直播更安心了,,0.0,2.0,3.0
腾讯视频约吧大明星,https://weibo.com/u/5797544882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
腾讯CBA,https://weibo.com/tencentbasketball,CBA联赛 今晚20时辽鲁大战即将打响 本赛季双方共两次交手 各胜一场 再一次面对老东家 高诗岩和朱荣振谁会成为此役的关键先生呢 R腾讯CBA的微博投票,2020-12-29 11:29,1.0,6.0,284.0,CBA联赛 唐才育9记三分 唐才育 齐麟 阿不都 新疆队锋线是否在联盟中属于豪华配置 刚结束的北控和新疆的比赛 唐才育9记三分刷新了自己的单场三分球纪录 并升至本赛季本土球员三分命中数首位 另一位新疆队锋线齐麟排在第8位 唐才育和齐麟本赛季的场均得分都有了大幅度的提高 加上伤愈回归 展开全文c,2020-12-28 18:39,1.0,2.0,261.0,CBA联赛 三后卫合砍77分辽宁大胜山西取六连胜 此役辽宁凭借整体优势最多时曾领先25分 山西下半场发起顽强反击将分差一度缩小至7分 最终仍无力逆转以110 125不敌辽宁送给对手六连胜 梅奥砍下29分5篮板4助攻 郭艾伦27分2篮板5助攻 赵继伟21分5篮板10助攻 西蒙斯13分3篮板2助攻 朱荣振11分10 展开全文c,2020-12-26 21:37,12.0,18.0,106.0,CBA联赛 启航2021 中央广播电视总台跨年盛典 看看@郭艾伦 的盛世美颜 给修图师加鸡腿,2020-12-27 13:51,6.0,19.0,103.0,CBA联赛 即便卸任主帅 李春江指导依然每场比赛亲临场边 广厦吞下五连败后暂居积分榜第12位 季后赛席位尚不稳固 李春江表情,2020-12-26 18:35,7.0,16.0,72.0,CBA联赛 38天后辽宁与广东本赛季首次对决 125 110 辽粤两队在常规赛第23轮打出了相同的比分 20胜2负与19胜2负 一个6连胜 一个9连胜 @辽宁沈阳三生飞豹篮球俱乐部 与@CBA广东宏远官方微博 都稳步前进 而近几轮又都在积分榜上一直暗自较劲 谁也没有疏忽 谁也不能疏忽 辽宁与广东兵多将广 展开全文c,2020-12-27 07:59,1.0,14.0,76.0,CBA联赛 杨鸣再度现身球场观战广州vs浙江 看看镜头捕捉到了哪位帅哥 又双叒叕是@杨鸣12 连续观战了三场北京今天又来观战刘维伟指导大战老叔 这也太敬业了吧 杨鸣有多敬业,2020-12-27 20:45,7.0,12.0,63.0,CBA联赛 CBA真香 广东男篮25分惨败上海无缘10连胜 本场比赛上海男篮迅速进入状态 在上半场给卫冕冠军造成不小的麻烦后 下半场延续了三分火力 让杜锋指导不得不将计划外的马尚布鲁克斯重新召回球场 但无奈马尚也不是广东的救世主 最终上海117 92大胜广东 豪取四连胜 上海方面邓蒙29分 罗 展开全文c,2020-12-28 14:39,2.0,26.0,52.0,CBA联赛 朱荣振连续三场上双填补韩德君缺阵 四天前 当朱荣振对阵北京队爆发后 辽宁队主教练杨鸣在赛后的新闻发布会上罕见地称赞了朱荣振 他前一阵确实饱受状态困扰 心理负担也比较大 通过刻苦训练和调整 他迎来爆发 希望他能保持 现在 朱荣振无疑没有辜负杨鸣的期待 职业生涯的第4 展开全文c,2020-12-26 23:06,2.0,11.0,64.0,CBA联赛 早安超话 当上帝赋予你荒野时 就意味着他要你成为高飞的鹰 早安 朋友们,2020-12-27 07:11,1.0,8.0,64.0
